degree,gender,mean,std_deviation,valid_answers,n_graduates,+-error
1511,Total,4.33,5.57,33,62,1.31
1512,Total,9.3,9.38,10,23,4.47
1513,Total,3.5,4.97,10,14,1.71
1514,Total,0.71,1.25,7,7,0.0
1515,Total,0.57,0.79,7,9,0.29
