degree,gender,mean,std_deviation,valid_answers,n_graduates,+-error
1511,MUJER,4.36,4.5,22,49,1.41
1512,MUJER,10,12.49,3,4,8.16
1513,MUJER,11,7.07,2,3,6.93
1514,MUJER,---,---,0,0,---
1515,MUJER,---,---,0,0,---
