degree,gender,mean,std_deviation,valid_answers,n_graduates,+-error
1511,Ambos,2.73,4.23,22,41,1.2
1512,Ambos,7.42,10.7,19,30,2.91
1513,Ambos,1.0,1.15,7,12,0.55
1514,Ambos,1.33,1.53,3,6,1.22
1515,Ambos,5.0,7.81,3,3,0.0
