degree,gender,mean,std_deviation,valid_answers,n_graduates,+-error
1511,Mujer,3,4.66,17,29,1.42
1512,Mujer,4.11,5.82,9,10,1.2
1513,Mujer,0.5,0.71,2,4,0.7
1514,Mujer,--,--,--,--,--
1515,Mujer,--,--,--,--,--
