year,gender,mean,n_graduates
2016_17,female,11.0,3.0
2016_17,male,1.62,11.0
2016_17,total,3.5,14.0
2017_18,female,0.5,4.0
2017_18,male,1.0,12.0
2017_18,total,1.2,8.0
2018_19,female,,4.0
2018_19,male,3.71,11.0
2018_19,total,3.71,15.0
2019_20,female,0.0,2.0
2019_20,male,4.5,3.0
2019_20,total,3.0,5.0
2020_21,female,0.0,1.0
2020_21,male,0.0,2.0
2020_21,total,0.0,3.0
