year,gender,mean,n_graduates
2016_17,female,,0.0
2016_17,male,0.71,7.0
2016_17,total,0.71,7.0
2017_18,female,,
2017_18,male,1.33,6.0
2017_18,total,1.33,6.0
2018_19,female,9.0,3.0
2018_19,male,0.43,13.0
2018_19,total,2.33,16.0
2019_20,female,3.0,4.0
2019_20,male,0.0,8.0
2019_20,total,1.0,12.0
2020_21,female,0.0,1.0
2020_21,male,2.6,5.0
2020_21,total,2.17,6.0
