degree,gender,mean,std_deviation,valid_answers,n_graduates,+-error
1511,MUJER,1.15,2.61,13,41,1.19
1512,MUJER,6.23,6.57,13,21,2.26
1513,MUJER,0.0,---,1,1,---
1514,MUJER,0.0,---,1,1,---
1515,MUJER,3.0,---,1,1,---
