degree,gender,mean,std_deviation,valid_answers,n_graduates,+-error
1511,HOMBRE,0.33,0.58,3,7,0.53
1512,HOMBRE,5.36,10.63,11,17,3.85
1513,HOMBRE,0.0,0.0,2,2,0.0
1514,HOMBRE,2.6,5.27,5,5,0.0
1515,HOMBRE,0.33,0.58,3,6,0.51
